Image_A,Image_B,FKD_Score
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,61.830633048183586
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,71.96790159254863
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,78.9110058833972
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,Nosy_boraha_south,84.13823114708862
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,Nosy_boraha_south,85.54119410226997
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,87.17453881760326
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,90.25532775142563
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,97.9302194415202
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,102.02263678252064
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,105.58062358537052
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R1C2,Nosy_boraha_south,106.17774974395047
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,108.4215415059665
IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,Nosy_boraha_south,108.94240601331364
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,109.36211072143215
IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,109.81201363274056
IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,109.9479977382847
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,110.75399199176411
IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,Nosy_boraha_south,112.65539064554935
IMG_PNEO3_STD_202304300656161_MS-FS_ORT_PWOI_000373589_4_1_F_1_R1C2,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,116.45364212902768
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,119.50591311423909
IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,Nosy_boraha_south,121.44559517629637
IMG_PNEO3_STD_202411220658104_MS-FS_ORT_PWOI_000373576_1_2_F_1_RGB_R1C1,IMG_PNEO4_STD_202310220710427_PAN_ORT_PWOI_000373568_2_1_F_1_P_R1C1,121.71660809830524
IMG_PNEO3_STD_202304300656161_PAN_ORT_PWOI_000373589_4_1_F_1_P_R1C1,IMG_PNEO3_STD_202308070701158_PAN_ORT_PWOI_000373512_15_2_F_1_P_R2C1,122.5487651897397
IMG_PNEO3_STD_202305170722489_PAN_ORT_PWOI_000373521_3_2_F_1_P_R4C1,Nosy_boraha_south,124.46234100314007
IMG_PNEO3_202310130650460_MS-FS_ORT_PWOI_000279689_1_1_F_1_R2C1,Nosy_boraha_south,127.21937667543477
IMG_PNEO3_STD_202307020708006_PAN_ORT_PWOI_000373520_8_1_F_1_P_R1C2,IMG_PNEO3_STD_202405300711567_PAN_ORT_PWOI_000373512_3_1_F_1_P_R2C1,128.218422929138
IMG_PNEO3_STD_202403130711390_MS-FS_ORT_PWOI_000373512_4_1_F_1_R1C1,IMG_PNEO3_STD_202405300712136_MS-FS_ORT_PWOI_000373512_2_2_F_1_RGB_R1C1,129.2990018363596
